Maintaining Region,Owning Region,County,Municipality,Device Number,Main Route,Intersecting Route,Location,Device Type,Device Purpose,Device Priority,Maintenance Responsibility,Latitude (UTM Y [Meters]),Longitude (UTM X [Meters])
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,BEDFORD-TOWN,406,NY 117,N Bedford Rd,RT 117 @ NORTH BEDFORD RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- MAINTENANCE CONTRACT),4565712.82,608777.4
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,LEWISBORO-TOWN,467SI,NY 138,,RT 138 WB; RM1034; E. OF INCREASE MILLER RD,BEACON,SIGN,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4572422,613340
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,GREENBURGH-TOWN,491PS,NY 009A,Old Country Rd,RT 9A @ OLD COUNTRY RD & SAMS,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- MAINTENANCE CONTRACT),4546655.86,599611.96
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,YONKERS-CITY,49A,Yonkers Ave,Vernon Pl,YONKERS AVE @ VERNON PLACE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- MUNICIPAL ARTERIAL),4529776.44,596410.97
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,C-M-3M36,NY 907K,,NY 907K,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,C-M-3M63,NY 907K,,NY 907K,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,C-P-3P1,NY 907K,,NY 907K,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,C-P-3P36,NY 907K,,NY 907K,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,C-P-3P49,NY 907K,,NY 907K,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,C-P-3P5,NY 907K,,NY 907K,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,C-R-3Q17,NY 907K,,NY 907K,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,C-S-S10,NY 907K,,NY 907K,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,C-S-S6,NY 907K,,NY 907K,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,C-W-3E8,NY 907K,,NY 907K,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,C-W-3WC20,NY 907K,,NY 907K,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,C-W-3WC28,NY 907K,,NY 907K,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,C-W-3WC37,NY 907K,,NY 907K,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,F-8A-F10,NY 987J,,NY 987J,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,H-H-H12,NY 907W,,NY 907W,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,H-H-H18,NY 907W,,NY 907W,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,S-1-S12,NY 987D,,NY 987D,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,S-10-S78,NY 987D,,NY 987D,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,S-12-N95,NY 987D,,NY 987D,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,S-13-N104,NY 987D,,NY 987D,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,S-13-N111,NY 987D,,NY 987D,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,S-13-S91,NY 987D,,NY 987D,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,S-15-S99,NY 987D,,NY 987D,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,S-16-N128,NY 987D,,NY 987D,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,S-18-N153,NY 987D,,NY 987D,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,S-19-S117,NY 987D,,NY 987D,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,S-2-S40,NY 987D,,NY 987D,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,S-3-N51,NY 987D,,NY 987D,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,S-4A-N65,NY 987D,,NY 987D,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,S-4B-S49,NY 987D,,NY 987D,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,S-7-N80,NY 987D,,NY 987D,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,S-7-N89,NY 987D,,NY 987D,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,S-H1-N166,NY 987D,,NY 987D,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,S-H2-N174,NY 987D,,NY 987D,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,S-R2-S31,NY 987D,,NY 987D,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,S-R4-N45,NY 987D,,NY 987D,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,S-R6-N35,NY 987D,,NY 987D,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,S-R8-N19,NY 987D,,NY 987D,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,,T-T-T2,NY 987G,,NY 987G,STREET LIGHT,STREET LIGHT,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08 - Poughkeepsie,08 - Poughkeepsie,COLUMBIA,GERMANTOWN-TOWN,2,NY 009G,Main St,RT 9G @ GERMANTOWN RD (C.R. 8/MAIN ST.),3-COLOR SIGNAL,STANDARD,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4665297.6,591597.42
08 - Poughkeepsie,08 - Poughkeepsie,COLUMBIA,GREENPORT-VILLAGE,23,US 009,Livingston Pkwy,RT 9 @ LIVINGSTON PARKWAY,3-COLOR SIGNAL,STANDARD,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4679926.94,602002.11
08 - Poughkeepsie,08 - Poughkeepsie,COLUMBIA,CLAVERACK-TOWN,3,NY 009H,NY 023,RT 9H @ RT 23 & RT 23B,3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4675250.18,604402.53
08 - Poughkeepsie,08 - Poughkeepsie,COLUMBIA,GREENPORT-VILLAGE,44SI,Middle Rd,,MIDDLE RD NORTH OF RT 9 RM1022,BEACON,STANDARD,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4675090.31,597968.97
08 - Poughkeepsie,08 - Poughkeepsie,DUTCHESS,HYDE PARK-TOWN,105,US 009,Pine Woods Rd,RT 9 @ PINE WOODS RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4626416.63,588640.11
08 - Poughkeepsie,08 - Poughkeepsie,DUTCHESS,POUGHKEEPSIE-TOWN,108PS,US 009,,RT 9 @ SOUTH HILLS MALL SOUTH DRIVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4608007,590247
08 - Poughkeepsie,08 - Poughkeepsie,DUTCHESS,POUGHKEEPSIE-CITY,10A,US 044,Jefferson St,POK E/W ARTERIAL @ JEFFERSON ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4617302.36,588707.17
08 - Poughkeepsie,08 - Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,135PS,NY 052,,RT 52 @ JOHN JAY HIGH SCHOOL DRIVEWAY,3-COLOR SIGNAL,STANDARD,SELECTIVE RESPONSE 3,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4599610.24,597211.49
08 - Poughkeepsie,08 - Poughkeepsie,DUTCHESS,POUGHKEEPSIE-TOWN,136SIP,NY 115,,RT 115 SOUTH OF BOCES DRWY,BEACON,SIGN,FULL RESPONSE 1,LOCAL PUBLIC BODY ( PERMIT ),4622042.63,593971.96
08 - Poughkeepsie,08 - Poughkeepsie,DUTCHESS,FISHKILL-TOWN,163PS,NY 052,,RT 52 @ DUTCHESS PARK SHOPPING CENTER / A&P,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4599781.24,593944.82
08 - Poughkeepsie,08 - Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,169,NY 052,Binnewater Rd,RT 52 @ LIME KILN RD(CR 27)/SHENANDOAH RD,3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4600185.34,598527.17
08 - Poughkeepsie,08 - Poughkeepsie,DUTCHESS,WAPPINGER-TOWN,187PS,US 009,,RT 9 @ ALPINE SHOPPING CENTER (BJ's),3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4603898.99,590980.48
08 - Poughkeepsie,08 - Poughkeepsie,DUTCHESS,WAPPINGERS FALLS-VILLAGE,2,US 009,E Main St,RT 9 @ E MAIN ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4605584.9,590760.29
08 - Poughkeepsie,08 - Poughkeepsie,DUTCHESS,WAPPINGER-TOWN,211SI,Old Hopewell Rd,,OLD HOPEWELL RD EAST OF RT 9,BEACON,SIGN,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4603556.67,591194.5
08 - Poughkeepsie,08 - Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,217SI,NY 987G,,TSP NORTH OF HOSNER MOUNTAIN RD,FLASHER,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4599981.061,602179.2559
08 - Poughkeepsie,08 - Poughkeepsie,DUTCHESS,POUGHKEEPSIE-TOWN,50PS,US 009,,RT 9 @ N. DRIVE POUGHKEEPSIE SHOPPING CENTER,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4613503.84,589124.49
08 - Poughkeepsie,08 - Poughkeepsie,DUTCHESS,FISHKILL-VILLAGE,52,NY 052,Jackson St,RT 52 @ JACKSON ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4598579,591329
08 - Poughkeepsie,08 - Poughkeepsie,DUTCHESS,POUGHKEEPSIE-TOWN,90PS,US 009,,RT 9 @ NORTH ENT-EXIT OF 9 MALL / WESTSIDE PLAZA,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4607462.47,590483.73
08 - Poughkeepsie,08 - Poughkeepsie,PUTNAM,CARMEL-TOWN,14,NY 052,Fair St,RT 52 @ FAIR ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4587002.95,610384.48
08 - Poughkeepsie,08 - Poughkeepsie,PUTNAM,CARMEL-TOWN,58PS,US 006,,RT 6 @ LAKE PLAZA / COONEY ROAD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4583129.53,606757.75
08 - Poughkeepsie,08 - Poughkeepsie,PUTNAM,CARMEL-TOWN,67,US 006,Miller Rd,RT 6 @ MILLER ROAD,3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4578412.44,604338.02
08 - Poughkeepsie,08 - Poughkeepsie,PUTNAM,BREWSTER-TOWN,77,Old Route 6,Brewster Rd,RT 6 @ OLD RT 6 (BREWSTER ROAD),3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4585412,611947
08 - Poughkeepsie,08 - Poughkeepsie,PUTNAM,COLD SPRING-VILLAGE,87SI,Taconic State Pkwy,,TSP NB; S OF RT 301; RM 1103,BEACON,ONE WAY SIGNAL,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4590891,598603
08 - Poughkeepsie,08 - Poughkeepsie,WESTCHESTER,YORKTOWN-TOWN,278,NY 035,NY 202,RT 35/202 @ TSP NB RAMP,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4571915.16,598771.61
08 - Poughkeepsie,08 - Poughkeepsie,ROCKLAND,HAVERSTRAW-TOWN,208,US 009W,Short Clove Rd,RT 9W @ SHORT CLOVE ROAD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4560091,587192
08 - Poughkeepsie,08 - Poughkeepsie,ORANGE,DEERPARK-TOWN,117.1SIP,US 209,,RT 209 WB @ NIAL HAMILTON SCHOOL; RM 2067,BEACON,SIGN,FULL RESPONSE 1,LOCAL PUBLIC BODY ( PERMIT ),4589769.69,533648.83
08 - Poughkeepsie,08 - Poughkeepsie,ORANGE,MONROE-VILLAGE,12,NY 017M,S Main St,RT 17M @ SO MAIN ST & STAGE RD,3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4575003.06,568041.44
08 - Poughkeepsie,08 - Poughkeepsie,ORANGE,NEWBURGH-CITY,131,NY 300,Old Little Britain Rd,RT 300 @ OLD LITTLE BRITAIN RD,3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4594585.92,577502.95
08 - Poughkeepsie,08 - Poughkeepsie,ORANGE,NEW WINDSOR-TOWN,145.1SIP,NY 094,,RT 94 NORTH OF SCH CROSSING @ CLINTONWOOD,BEACON,SIGN,FULL RESPONSE 1,PRIVATE ( PERMIT ),4592570.19,581763.59
08 - Poughkeepsie,08 - Poughkeepsie,ORANGE,MONROE-VILLAGE,168,NY 208,,RT 208 @ RT 17 WB RAMP,3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4577594.54,567733.62
08 - Poughkeepsie,08 - Poughkeepsie,ORANGE,WOODBURY-TOWN,180PS,NY 032,,RT 32 @ WOODBURY COMMON NORTH DRIVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4574571.53,572937.98
08 - Poughkeepsie,08 - Poughkeepsie,ORANGE,NEWBURGH-CITY,186PS,NY 300,,RT 300 @ WALMART,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4594312.05,577421.74
08 - Poughkeepsie,08 - Poughkeepsie,ORANGE,MONROE-VILLAGE,193PS,NY 017M,,RT 17M @SHOPRITE PLAZA,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4575937.13,567602.16
08 - Poughkeepsie,08 - Poughkeepsie,ORANGE,NEWBURGH-CITY,213PS,NY 300,,RT 300 @ ADAMS FAIRACRES FARM,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4594932.28,577597.27
08 - Poughkeepsie,08 - Poughkeepsie,ORANGE,NEW WINDSOR-TOWN,235,NY 094,Mount Airy Rd,RT 94 @ MT AIRY ROAD,3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4588837.47,577147.38
08 - Poughkeepsie,08 - Poughkeepsie,ORANGE,NEWBURGH-CITY,239PS,NY 032,,RT 32 @ MID VALLEY MALL,3-COLOR SIGNAL,STANDARD,SELECTIVE RESPONSE 3,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4597215.88,581101.25
08 - Poughkeepsie,08 - Poughkeepsie,ORANGE,NEW WINDSOR-TOWN,58,US 009W,,RT 9W @ RT 94 SO CONN WALSH AVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4593389.37,581886.61
08 - Poughkeepsie,08 - Poughkeepsie,ORANGE,MONROE-VILLAGE,80,NY 017M,NY 208,RT 17M @ RT 208/STILL RD/FREELAND ST,3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4574587.03,568792.54
08 - Poughkeepsie,08 - Poughkeepsie,ORANGE,WAWAYANDA-TOWN,86SIP,US 006,,RT 6 MINISINK VALLEY CENTRAL SCHOOL,BEACON,SIGN,FULL RESPONSE 1,LOCAL PUBLIC BODY ( PERMIT ),4581741.93,540578.89
08 - Poughkeepsie,08 - Poughkeepsie,ROCKLAND,HAVERSTRAW-VILLAGE,124,US 202,,RT 202 @ THIELLS MT IVY RD,3-COLOR SIGNAL,NO CONTROLLER,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4559881,580737
08 - Poughkeepsie,08 - Poughkeepsie,ROCKLAND,SPRING VALLEY-TOWN,203PS,NY 306,Orchard Pl,RT 306 @ ORCHARD ST & ROCKLAND KOSHER MKT,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4551368,578160
08 - Poughkeepsie,08 - Poughkeepsie,ULSTER,WAWARSING-TOWN,120PS,US 209,,RT 209 @ SHOPRITE / HOSPITAL,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4619686.72,551025.89
08 - Poughkeepsie,08 - Poughkeepsie,ULSTER,LLOYD-TOWN,136,US 009W,Red Top Rd,RT 9W @ REDTOP ROAD,3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4622660.1,586129.97
08 - Poughkeepsie,08 - Poughkeepsie,ULSTER,NEW PALTZ-TOWN,155,NY 032,Jansen Rd,RT 32 @ JANSEN ROAD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4619045.49,576255.08
08 - Poughkeepsie,08 - Poughkeepsie,ULSTER,NEW PALTZ-VILLAGE,42,NY 032,NY 299,RT 32 & RT 299 & NORTHMANHEIN BLVD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4621976,576666
08 - Poughkeepsie,08 - Poughkeepsie,ULSTER,SAUGERTIES-VILLAGE,54,US 009W,,RT 9W 600 FT SO OF PENN CENTRAL RR UNDERPASS,3-COLOR SIGNAL,SPECIAL PURPOSE,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4664977.79,588644.74
08 - Poughkeepsie,08 - Poughkeepsie,ULSTER,MARBLETOWN-TOWN,84SI,NY 213,,RT 213 - 1000' WEST OF LUCAS AVE,BEACON,SIGN,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4631339.37,571545.71
08 - Poughkeepsie,08 - Poughkeepsie,ULSTER,MARBLETOWN-TOWN,85,NY 213,Lucas Ave,RT 213 @ LUCAS AVE,3-COLOR SIGNAL,STANDARD,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4631235.31,571812.01
